time,open,high,low,close
-302497200,0.92,0.92,0.92,0.92
-299905200,0.92,0.92,0.92,0.92
-297226800,0.92,0.92,0.92,0.92
-294548400,0.92,0.92,0.92,0.92
-291783600,0.92,0.92,0.92,0.92
-289274400,0.92,0.92,0.92,0.92
-286682400,0.92,0.92,0.92,0.92
-283917600,0.93,0.93,0.93,0.93
-281325600,0.93,0.93,0.93,0.93
-278906400,0.93,0.93,0.93,0.93
-276055200,0.93,0.93,0.93,0.93
-273639600,0.93,0.93,0.93,0.93
-270961200,0.93,0.93,0.93,0.93
-268196400,0.93,0.93,0.93,0.93
-265690800,0.93,0.93,0.93,0.93
-263012400,0.93,0.93,0.93,0.93
-260334000,0.93,0.93,0.93,0.93
-257738400,0.93,0.93,0.93,0.93
-255146400,0.93,0.93,0.93,0.93
-252468000,1.09,1.09,1.09,1.09
